First root.player = true
parent: 0
current.player: false
parent.id = 0, parent.coordinate: {8 8}, parent.value = 0
child.id = 321, child.coordinate: {7 12}, child.value = 26244
child.id = 322, child.coordinate: {8 10}, child.value = 4494365
child.id = 323, child.coordinate: {8 11}, child.value = 2261358
child.id = 324, child.coordinate: {8 12}, child.value = 1141614
child.id = 325, child.coordinate: {9 4}, child.value = 13766
child.id = 326, child.coordinate: {9 5}, child.value = 21866
child.id = 327, child.coordinate: {9 6}, child.value = 20409
child.id = 328, child.coordinate: {9 7}, child.value = 8973502
child.id = 329, child.coordinate: {9 8}, child.value = 8973341
child.id = 330, child.coordinate: {9 10}, child.value = 19845
child.id = 331, child.coordinate: {9 11}, child.value = 20088
child.id = 332, child.coordinate: {9 12}, child.value = 20655
child.id = 333, child.coordinate: {10 4}, child.value = 13766
child.id = 334, child.coordinate: {10 5}, child.value = 26244
child.id = 335, child.coordinate: {10 6}, child.value = 4500846
child.id = 336, child.coordinate: {10 7}, child.value = 26244
child.id = 337, child.coordinate: {10 8}, child.value = 4494447
child.id = 338, child.coordinate: {10 9}, child.value = 19845
child.id = 339, child.coordinate: {10 10}, child.value = 19845
child.id = 340, child.coordinate: {10 11}, child.value = 26244
child.id = 341, child.coordinate: {10 12}, child.value = 26244
child.id = 342, child.coordinate: {11 4}, child.value = 13766
child.id = 343, child.coordinate: {11 5}, child.value = 2261358
child.id = 344, child.coordinate: {11 6}, child.value = 26244
child.id = 345, child.coordinate: {11 7}, child.value = 20088
child.id = 346, child.coordinate: {11 8}, child.value = 2261358
child.id = 347, child.coordinate: {11 9}, child.value = 20088
child.id = 348, child.coordinate: {11 10}, child.value = 26244
child.id = 349, child.coordinate: {11 11}, child.value = 20088
child.id = 350, child.coordinate: {11 12}, child.value = 26244
child.id = 351, child.coordinate: {12 4}, child.value = 385556
child.id = 352, child.coordinate: {12 5}, child.value = 26244
child.id = 353, child.coordinate: {12 6}, child.value = 20655
child.id = 354, child.coordinate: {12 7}, child.value = 26244
child.id = 355, child.coordinate: {12 8}, child.value = 1141614
child.id = 356, child.coordinate: {12 9}, child.value = 20655
child.id = 357, child.coordinate: {12 10}, child.value = 26244
child.id = 358, child.coordinate: {12 11}, child.value = 26244
child.id = 359, child.coordinate: {12 12}, child.value = 20655

parent: 3
current.player: true
parent.id = 3, parent.coordinate: {4 6}, parent.value = 14094
child.id = 360, child.coordinate: {0 2}, child.value = 106
child.id = 361, child.coordinate: {0 3}, child.value = 169
child.id = 362, child.coordinate: {0 4}, child.value = 186
child.id = 363, child.coordinate: {0 5}, child.value = 244
child.id = 364, child.coordinate: {0 6}, child.value = 186
child.id = 365, child.coordinate: {0 7}, child.value = 244
child.id = 366, child.coordinate: {0 8}, child.value = 244
child.id = 367, child.coordinate: {0 9}, child.value = 244
child.id = 368, child.coordinate: {0 10}, child.value = 186
child.id = 369, child.coordinate: {1 2}, child.value = 733
child.id = 370, child.coordinate: {1 3}, child.value = 1164
child.id = 371, child.coordinate: {1 4}, child.value = 2885
child.id = 372, child.coordinate: {1 5}, child.value = 7047
child.id = 373, child.coordinate: {1 6}, child.value = 6900
child.id = 374, child.coordinate: {1 7}, child.value = 7047
child.id = 375, child.coordinate: {1 8}, child.value = 7047
child.id = 376, child.coordinate: {1 9}, child.value = 6900
child.id = 377, child.coordinate: {1 10}, child.value = 7047
child.id = 378, child.coordinate: {2 2}, child.value = 1228
child.id = 379, child.coordinate: {2 3}, child.value = 1824
child.id = 380, child.coordinate: {2 4}, child.value = 3060
child.id = 381, child.coordinate: {2 5}, child.value = 7776
child.id = 382, child.coordinate: {2 6}, child.value = 7384
child.id = 383, child.coordinate: {2 7}, child.value = 7776
child.id = 384, child.coordinate: {2 8}, child.value = 7384
child.id = 385, child.coordinate: {2 9}, child.value = 7776
child.id = 386, child.coordinate: {2 10}, child.value = 7776
child.id = 387, child.coordinate: {3 2}, child.value = 1816
child.id = 388, child.coordinate: {3 3}, child.value = 3021
child.id = 389, child.coordinate: {3 4}, child.value = 4775
child.id = 390, child.coordinate: {3 5}, child.value = 8516
child.id = 391, child.coordinate: {3 6}, child.value = 8516
child.id = 392, child.coordinate: {3 7}, child.value = 8516
child.id = 393, child.coordinate: {3 8}, child.value = 9477
child.id = 394, child.coordinate: {3 9}, child.value = 9477
child.id = 395, child.coordinate: {3 10}, child.value = 9477
child.id = 396, child.coordinate: {4 2}, child.value = 3138
child.id = 397, child.coordinate: {4 3}, child.value = 3864
child.id = 398, child.coordinate: {4 4}, child.value = 4272
child.id = 399, child.coordinate: {4 5}, child.value = 7613
child.id = 400, child.coordinate: {4 7}, child.value = 7695
child.id = 401, child.coordinate: {4 8}, child.value = 6264
child.id = 402, child.coordinate: {4 9}, child.value = 8505
child.id = 403, child.coordinate: {4 10}, child.value = 10044
child.id = 404, child.coordinate: {5 2}, child.value = 7612
child.id = 405, child.coordinate: {5 3}, child.value = 9231
child.id = 406, child.coordinate: {5 4}, child.value = 13766
child.id = 407, child.coordinate: {5 5}, child.value = 14009
child.id = 408, child.coordinate: {5 6}, child.value = 19845
child.id = 409, child.coordinate: {5 7}, child.value = 19845
child.id = 410, child.coordinate: {5 8}, child.value = 21870
child.id = 411, child.coordinate: {5 9}, child.value = 21866
child.id = 412, child.coordinate: {5 10}, child.value = 26244
child.id = 413, child.coordinate: {6 2}, child.value = 7612
child.id = 414, child.coordinate: {6 3}, child.value = 9231
child.id = 415, child.coordinate: {6 4}, child.value = 11714
child.id = 416, child.coordinate: {6 5}, child.value = 26244
child.id = 417, child.coordinate: {6 6}, child.value = 13767
child.id = 418, child.coordinate: {6 7}, child.value = 26244
child.id = 419, child.coordinate: {6 8}, child.value = 15714
child.id = 420, child.coordinate: {6 9}, child.value = 20409
child.id = 421, child.coordinate: {6 10}, child.value = 21870
child.id = 422, child.coordinate: {7 2}, child.value = 7612
child.id = 423, child.coordinate: {7 3}, child.value = 8610
child.id = 424, child.coordinate: {7 4}, child.value = 13766
child.id = 425, child.coordinate: {7 5}, child.value = 26244
child.id = 426, child.coordinate: {7 6}, child.value = 20655
child.id = 427, child.coordinate: {7 7}, child.value = 19762
child.id = 428, child.coordinate: {7 8}, child.value = 21870
child.id = 429, child.coordinate: {7 9}, child.value = 9961
child.id = 430, child.coordinate: {7 10}, child.value = 26244
